Date,Close,Open,High,Low,Volumn
2010-01-04,223.49,221.67,223.49,221.66,"85,967"
2010-01-05,222.84,224.24,224.4,222.18,"153,282"
2010-01-06,224.67,223.83,224.96,223.52,"170,500"
2010-01-07,221.31,224.23,224.77,221.31,"183,417"
2010-01-08,222.66,222.65,222.81,219.15,"157,255"
2010-01-11,222.23,223.31,224.18,222.23,"155,386"
2010-01-12,223.04,222.5,223.39,220.86,"121,231"
2010-01-13,219.17,220.82,221.46,219.01,"116,029"
2010-01-14,221.19,220.39,222.24,219.88,"134,056"
2010-01-15,223.21,222.33,223.69,221.12,"156,994"
2010-01-18,224.38,222.26,225.19,221.21,"156,024"
2010-01-19,224.13,225.44,226.1,223.55,"129,306"
2010-01-20,224.83,225.87,225.97,223.88,"171,767"
2010-01-21,226.16,223.03,226.16,222.41,"127,292"
2010-01-22,220.68,222.59,223.9,218.22,"154,755"
2010-01-25,219.33,217.72,220.65,217.37,"125,942"
2010-01-26,214.89,219.09,219.41,213.52,"130,220"
2010-01-27,213.02,215.38,215.63,212.51,"119,972"
2010-01-28,215.67,213.94,216.65,212.53,"115,838"
2010-01-29,210.34,212.77,213.63,209.4,"113,867"
2010-02-01,210.76,210.53,211.68,208.77,"104,367"
2010-02-02,209.27,212.36,212.36,208.55,"116,331"
2010-02-03,211.86,211.76,212.45,209.99,"92,510"
2010-02-04,211.72,211.82,212.44,210.71,"89,449"
2010-02-05,205.06,205.48,206.39,204.31,"105,387"
2010-02-08,203.37,204.6,204.87,202.69,"85,550"
2010-02-09,206.01,203.17,206.25,202.93,"100,276"
2010-02-10,205.94,206.98,207.41,205.23,"91,857"
2010-02-11,209.73,206.55,210.17,206.45,"98,644"
2010-02-12,208.74,209.35,209.59,206.56,"87,273"
2010-02-16,209.73,208.21,210.84,207.77,"72,252"
2010-02-17,213.44,212.24,213.56,212.09,"96,339"
2010-02-18,212.55,213.81,213.98,212.11,"79,516"
2010-02-19,208.7,211.12,212.85,208.56,"81,624"
2010-02-22,213.28,211.92,213.97,211.92,"79,148"
2010-02-23,213.45,213.29,213.68,211.61,"78,091"
2010-02-24,210.92,211.69,211.93,210.11,"82,853"
2010-02-25,207.56,211.86,212.16,206.85,"78,859"
2010-02-26,208.36,208.53,208.86,206.69,"62,066"
2010-03-02,211.44,210.99,212.15,210.58,"89,620"
2010-03-03,212.36,211.42,212.4,210.81,"69,142"
2010-03-04,211.91,212.75,213.66,211.12,"71,063"
2010-03-05,214.05,212.87,214.09,212.79,"75,190"
2010-03-08,217.73,216.79,217.87,216.31,"110,528"
2010-03-09,217.82,217.4,217.89,216.74,"88,555"
2010-03-10,217.82,217.9,218.07,216.63,"96,014"
2010-03-11,216.76,218.98,219.29,216.65,"144,916"
2010-03-12,217.35,218.11,218.17,216.14,"92,658"
2010-03-15,215.49,217.53,218.15,214.63,"83,214"
2010-03-16,215.25,216.15,216.26,214.5,"129,470"
2010-03-17,220.28,217.39,220.28,216.83,"117,943"
2010-03-18,219.02,219.69,220.88,219.02,"109,220"
2010-03-19,220.48,220.05,220.77,219.32,"104,883"
2010-03-22,218.52,219.31,219.73,217.35,"99,570"
2010-03-23,220.09,220.27,220.95,219.44,"94,765"
2010-03-24,220.09,221.71,222.03,219.73,"95,382"
2010-03-25,221.07,220.11,221.13,219.58,"147,419"
2010-03-26,222.25,220.35,222.63,219.83,"96,488"
2010-03-29,221.6,220.11,222.55,220.03,"100,815"
2010-03-30,222.48,223.45,223.5,221.63,"102,487"
2010-03-31,221.58,222.76,223.2,221.06,"111,845"
2010-04-01,225.47,221.98,225.58,221.98,"111,808"
2010-04-02,226.69,226.03,226.78,225.28,"125,157"
2010-04-05,227.48,227.37,228.02,225.61,"113,490"
2010-04-06,227.51,228.62,228.64,226.49,"91,862"
2010-04-07,227.31,227.33,227.82,226.62,"109,790"
2010-04-08,228.27,226.66,228.27,226.22,"84,630"
2010-04-09,226.81,228.34,228.76,224.82,"164,943"
2010-04-12,224.59,227.56,227.94,224.14,"111,511"
2010-04-13,224.69,225.21,225.48,222.93,"83,805"
2010-04-14,228.08,226.01,228.08,226.01,"109,971"
2010-04-15,229.17,229.52,229.84,227.13,"136,430"
2010-04-16,227.69,228.83,229.11,226.21,"93,003"
2010-04-19,223.65,224.17,225.76,223.04,"89,081"
2010-04-20,225.13,224.98,225.69,224.15,"86,756"
2010-04-21,229.09,226.82,229.24,226.72,"110,514"
2010-04-22,227.76,227.6,228.02,226.19,"99,465"
2010-04-23,227.36,228.99,229.08,226.66,"93,337"
2010-04-26,229.64,228.5,230.54,228.47,"91,555"
2010-04-27,229.28,229.06,230.1,228.16,"97,141"
2010-04-28,226.98,224.81,226.98,224.61,"119,430"
2010-04-29,226.11,227.58,227.58,224.98,"122,786"
2010-04-30,227.95,227.94,229.14,227.59,"113,668"
2010-05-03,225.1,227.04,227.72,223.67,"109,194"
2010-05-04,224.76,226.29,227,224.22,"122,126"
2010-05-06,220.21,219.56,220.76,218.72,"130,889"
2010-05-07,215.09,213.33,216.59,212.41,"153,082"
2010-05-10,219.1,216.86,219.53,215.88,"108,117"
2010-05-11,217.63,220.94,221,216.63,"125,763"
2010-05-12,216.78,218.86,219.26,215.98,"111,638"
2010-05-13,220.8,219.55,221.68,219.34,"113,397"
2010-05-14,221.08,219.58,221.69,218.45,"131,875"
2010-05-17,215.36,217.34,217.9,214.27,"137,856"
